epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,978.748,1.18886,2.02798,1.30682,0.52956,0.41494,0.29666,0.14899,1.29631,3.0586,1.68765,0.0033309,0.0033309,0.0033309
2,1461.86,1.11438,1.35811,1.26552,0.4904,0.5383,0.41971,0.21037,1.34608,1.88915,1.75874,0.00653229,0.00653229,0.00653229
3,1935.01,1.16661,1.25804,1.30329,0.40072,0.34846,0.30292,0.13882,1.69478,3.68242,2.19413,0.00960167,0.00960167,0.00960167
4,2400.68,1.1789,1.19597,1.31537,0.44218,0.3983,0.40372,0.19588,1.54403,2.46228,1.9337,0.009406,0.009406,0.009406
5,2965.91,1.118,1.05782,1.27983,0.4886,0.48767,0.4038,0.18902,1.48981,3.02983,1.88091,0.009208,0.009208,0.009208
6,3564.14,1.06517,0.96321,1.24111,0.5491,0.32796,0.4166,0.20353,1.46455,3.07121,1.8372,0.00901,0.00901,0.00901
7,4052.77,1.0336,0.91492,1.2291,0.60345,0.37938,0.4946,0.25418,1.5277,2.23234,1.9129,0.008812,0.008812,0.008812
8,4539.33,1.00855,0.86035,1.2126,0.56071,0.49183,0.51598,0.26036,1.54981,3.11045,1.91755,0.008614,0.008614,0.008614
9,5315.28,0.98028,0.82676,1.19515,0.54271,0.54054,0.52159,0.26763,1.49575,2.17804,1.8456,0.008416,0.008416,0.008416
10,6158.35,0.96979,0.79985,1.18741,0.53547,0.53839,0.53761,0.27555,1.42395,2.69536,1.80931,0.008218,0.008218,0.008218
11,6741.8,0.95198,0.77233,1.17363,0.51926,0.58434,0.51244,0.26395,1.6218,2.27894,2.00962,0.00802,0.00802,0.00802
12,7480.18,0.93025,0.74738,1.16614,0.49459,0.6141,0.53825,0.28196,1.50768,2.45589,1.87628,0.007822,0.007822,0.007822
13,8038.73,0.92123,0.73297,1.15895,0.59806,0.51556,0.53725,0.2687,1.52324,2.67818,1.89509,0.007624,0.007624,0.007624
